# z x y slope intercept
1 0 0 0.000120975 0.184989
1 0 1 0.000119541 0.107474
1 0 2 0.000118355 0.335229
1 0 3 0.000123196 0.445826
1 0 4 0.000117418 0.362963
1 1 0 0.000123658 0.0391031
1 1 1 0.000120313 0.172188
1 1 2 0.000119904 0.296299
1 1 3 0.000121098 0.351705
1 1 4 0.00011791 0.354073
1 2 0 0.000120149 0.103428
1 2 1 0.00011853 0.206517
1 2 2 0.000118844 0.152228
1 2 3 0.000121554 0.163955
1 2 4 0.000119383 0.251459
1 3 0 0.000118872 0.180007
1 3 1 0.000118763 0.190675
1 3 2 0.000118016 0.187153
1 3 3 0.000118552 0.204615
1 3 4 0.000116041 0.395504
1 4 0 0.000120469 0.127154
1 4 1 0.000122635 0.136836
1 4 2 0.000121378 0.131924
1 4 3 0.000119705 0.149595
1 4 4 0.000115517 0.216183
2 0 0 0.000125444 -1.01492
2 0 1 0.000119902 -0.47385
2 0 2 0.000118383 -0.53502
2 0 3 0.000127824 -0.929716
2 0 4 0.000128967 -0.876967
2 1 0 0.000122964 -0.57396
2 1 1 0.000122211 -0.838335
2 1 2 0.000125108 -0.652412
2 1 3 0.000126824 -1.08109
2 1 4 0.000126 -0.797734
2 2 0 0.00012776 -0.785837
2 2 1 0.00012517 -0.957661
2 2 2 0.000126117 -0.794901
2 2 3 0.000125302 -0.60139
2 2 4 0.000125827 -0.783634
2 3 0 0.000125709 -0.738753
2 3 1 0.000130468 -1.16694
2 3 2 0.000127227 -0.937178
2 3 3 0.000126211 -0.662517
2 3 4 0.000127672 -1.14933
2 4 0 0.000129193 -1.03177
2 4 1 0.00012825 -1.16459
2 4 2 0.000127965 -1.07767
2 4 3 0.000124558 -0.594752
2 4 4 0.000130874 -1.81819
