FEE	Channel	   Offset	Peaks	       INL	Comment
3	22	  -74.3667	10	  0.999981	
3	23	     145.7	10	  0.999986	
3	24	      -0.4	9	  0.999982	
3	25	  -18.6333	10	  0.999991	
3	26	   51.2333	10	  0.999982	
3	27	   18.6333	10	  0.999986	
3	28	   149.033	10	  0.999986	
3	29	   114.744	9	  0.999985	
3	30	  -273.833	10	  0.999984	
3	31	      -9.7	10	  0.999991	
3	32	     106.3	10	  0.999994	
3	33	   39.6111	9	  0.999975	
3	34	  -113.967	10	  0.999988	
3	35	   132.433	10	  0.999986	
3	36	  -31.1667	10	  0.999985	
3	37	   68.2333	10	  0.999988	
3	38	  -116.167	10	  0.999987	
3	39	     -71.9	10	  0.999986	
3	40	  -38.2333	10	  0.999985	
3	41	   104.233	10	  0.999982	
3	42	  -176.433	10	  0.999981	
3	43	     -89.9	10	   0.99998	
3	44	   50.3667	10	  0.999981	
3	45	    -121.3	10	  0.999966	
3	46	   142.567	10	  0.999992	
3	47	   99.5667	10	  0.999985	
3	48	  -108.778	9	  0.999937	
3	49	     -78.1	10	  0.999988	
3	50	   166.233	10	  0.999981	
3	51	   225.767	10	  0.999984	
3	52	   267.233	10	  0.999974	
3	53	   523.433	10	  0.999986	
3	54	  -29.3667	10	   0.99997	
3	55	     114.9	10	   0.99996	
3	56	   223.989	9	  0.999928	
3	57	     262.9	10	   0.99997	
3	58	     173.7	10	  0.999959	
3	59	     -39.1	10	  0.999981	
3	60	   133.433	10	   0.99996	
3	61	  -71.0333	10	  0.999953	
3	62	   52.5667	10	  0.999968	
3	63	      93.9	10	  0.999989	
3	64	   197.367	10	  0.999972	
4	1	      6.25	7	  0.998974	Bad Fit Few Peaks
4	2	   63.6548	8	   0.99994	
4	3	    -146.5	2	         1	Perfect Fit?Few Peaks
4	4	      -128	6	  0.999984	Few Peaks
4	5	     163.8	9	  0.999938	
4	6	   -94.381	8	   0.99991	
4	7	  -209.429	7	  0.999979	Few Peaks
4	8	    -113.5	2	         1	Perfect Fit?Few Peaks
4	9	   -149.31	8	  0.999891	
4	10	  -291.476	8	  0.999894	
4	11	  -95.0556	9	  0.999824	
4	12	   55.2444	9	   0.99988	
4	13	    -128.6	9	  0.999854	
4	14	  -190.033	9	  0.999863	
4	15	      36.3	10	  0.999827	
4	16	  -57.3271	8	  0.999906	
4	17	  -485.367	10	  0.999903	
4	18	  -95.0333	10	  0.999854	
4	19	   359.833	10	  0.999879	
4	20	  -29.8333	10	  0.999844	
4	21	     202.3	10	  0.999778	
4	22	    -192.3	10	  0.999849	
4	23	   95.5667	10	  0.999814	
4	24	  -123.233	10	  0.999821	
4	25	   245.633	10	  0.999848	
4	26	   85.1667	10	  0.999844	
4	27	  -38.0333	10	  0.999812	
4	28	     -59.3	10	  0.999854	
4	29	  -341.033	10	  0.999847	
4	30	  -266.967	10	  0.999849	
4	31	     131.5	10	  0.999894	
4	32	  -138.633	10	  0.999917	
4	33	  -49.8333	10	  0.999808	
4	34	   217.767	10	  0.999888	
4	35	  -153.833	10	   0.99973	
4	36	    -116.7	10	  0.999801	
4	37	  -129.567	10	  0.999804	
4	38	   20.8333	10	  0.999783	
4	39	     -84.5	10	  0.999827	
4	40	  -325.633	10	  0.999693	
4	41	  -113.167	10	  0.999764	
4	42	  -55.6333	10	   0.99982	
4	43	      11.1	10	  0.999763	
4	44	   80.6333	10	  0.999859	
4	45	  0.766667	10	  0.999796	
4	46	   74.9667	10	  0.999868	
4	47	   66.1667	10	  0.999908	
4	48	     -39.7	10	  0.999924	
4	49	     -44.9	10	  0.999822	
4	50	  -33.9667	10	   0.99977	
4	51	   136.767	10	  0.999818	
4	52	  -88.5667	10	  0.999896	
4	53	  -189.367	10	  0.999946	
4	54	    -300.7	10	  0.999735	
4	55	      22.5	10	  0.999683	
4	56	   -51.675	8	   0.99982	
4	57	  -205.833	10	    0.9999	
4	58	     -32.7	10	  0.999823	
4	59	  -45.2333	10	  0.999815	
4	60	  -592.967	10	  0.999788	
4	61	   40.2333	10	  0.999851	
4	62	  -157.233	10	  0.999876	
4	63	  -29.8333	10	  0.999742	
4	64	  -227.833	10	  0.999961	
5	1	     -25.1	10	  0.999903	
5	2	   76.1778	9	  0.999918	
5	3	   32.7667	10	  0.999987	
5	4	      81.5	10	  0.999979	
5	5	   190.433	10	  0.999946	
5	6	   239.967	10	  0.999982	
5	7	   154.233	10	  0.999993	
5	8	   34.6333	10	  0.999977	
5	9	   52.9667	10	  0.999989	
5	10	  -62.4333	10	  0.999981	
5	11	   127.433	10	  0.999992	
5	12	  -202.033	10	  0.999994	
5	13	   24.9667	10	  0.999973	
5	14	   203.633	10	  0.999989	
5	15	     120.3	10	  0.999931	
5	16	    -207.7	10	  0.999956	
5	17	    -203.9	10	  0.999982	
5	18	   60.6333	10	  0.999912	
5	19	    -101.3	10	  0.999978	
5	20	  -88.6333	10	  0.999965	
5	21	  -63.1667	10	  0.999919	
5	22	  -6.23333	10	  0.999993	
5	23	    -161.7	10	  0.999987	
5	24	   159.433	10	   0.99998	
5	25	   85.0333	10	  0.999961	
5	26	       0.9	10	  0.999975	
5	27	  -320.833	10	  0.999854	
5	28	   50.7667	10	  0.999987	
5	29	  -225.367	10	  0.999821	
5	30	  -49.7667	10	  0.999985	
5	31	       4.1	10	  0.999919	
5	32	     -49.9	10	  0.999952	
5	33	     -23.1	10	  0.999989	
5	34	   113.233	10	  0.999995	
5	35	    -334.5	10	  0.999913	
5	36	    -280.1	10	  0.999988	
5	37	       8.1	10	  0.999984	
5	38	    -133.7	10	   0.99997	
5	39	  -28.3667	10	  0.999983	
5	40	   94.7667	10	  0.999959	
5	41	      61.5	10	  0.999955	
5	42	  -83.4333	10	  0.999992	
5	43	   186.833	10	  0.999973	
5	44	  -199.233	10	  0.999989	
5	45	   37.5667	10	  0.999968	
5	46	     -46.1	10	  0.999976	
5	47	  -141.233	10	  0.999986	
5	48	      67.9	10	  0.999955	
5	49	    -231.3	10	  0.999979	
5	50	  -220.833	10	  0.999986	
5	51	    -227.7	10	  0.999978	
5	52	  -176.367	10	  0.999976	
5	53	     -27.5	10	  0.999978	
5	54	  -420.233	10	  0.999885	
5	55	  -331.767	10	  0.999878	
5	56	  -10.1556	9	  0.999908	
5	57	  -34.9667	10	  0.999959	
5	58	    -128.9	10	  0.999975	
5	59	  -35.3667	10	  0.999991	
5	60	  -110.633	10	   0.99993	
5	61	  -216.433	10	  0.999908	
5	62	    -110.3	10	  0.999984	
5	63	  -308.767	10	  0.999918	
5	64	  -52.4333	10	  0.999975	
6	1	   229.357	3	    0.9997	Few Peaks
6	2	   77.3969	5	  0.999939	Few Peaks
6	3	   96.6556	9	  0.999889	
6	4	  -86.8222	9	  0.999876	
6	5	  -52.8046	6	  0.988356	Bad Fit Few Peaks
6	6	  -150.433	9	  0.999816	
6	7	  -148.867	9	  0.999843	
6	8	  -233.411	9	  0.999849	
6	9	  -69.9667	10	  0.999799	
6	10	  -225.622	9	  0.999837	
6	11	   37.1667	10	  0.999843	
6	12	    280.63	8	  0.999882	
6	13	    -214.5	10	  0.999839	
6	14	  -175.367	10	  0.999868	
6	15	  -45.7667	10	  0.999872	
6	16	  -283.967	10	  0.999879	
6	17	  -26.3667	10	  0.999908	
6	18	  -234.967	10	  0.999881	
6	19	   125.767	10	  0.999884	
6	20	   279.167	10	  0.999874	
6	21	  -238.433	10	  0.999808	
6	22	   160.767	10	   0.99986	
6	23	   240.233	10	  0.999832	
6	24	  -6.63333	10	  0.999813	
6	25	   186.433	10	  0.999824	
6	26	   151.033	10	   0.99981	
6	27	  -203.367	10	  0.999822	
6	28	   43.7667	10	  0.999875	
6	29	     148.7	10	  0.999858	
6	30	  -38.8333	10	  0.999866	
6	31	  -87.1667	10	  0.999915	
6	32	     185.7	10	  0.999926	
6	33	  -71.2333	10	  0.999848	
6	34	  -183.567	10	  0.999904	
6	35	    -188.3	10	  0.999788	
6	36	  -77.5667	10	  0.999867	
6	37	     180.1	10	  0.999817	
6	38	  -46.7667	10	  0.999802	
6	39	    -126.1	10	  0.999831	
6	40	  -364.967	10	  0.999784	
6	41	  -136.567	10	  0.999846	
6	42	  -3.23333	10	  0.999839	
6	43	  -285.233	10	  0.999836	
6	44	    -147.9	10	  0.999874	
6	45	     -18.5	10	  0.999871	
6	46	   47.7667	10	  0.999889	
6	47	  -26.3667	10	  0.999897	
6	48	    -109.1	10	  0.999941	
6	49	  -141.033	10	  0.999856	
6	50	  -72.7667	10	  0.999826	
6	51	  -304.833	10	  0.999829	
6	52	  -39.2333	10	  0.999922	
6	53	  -92.6333	10	  0.999954	
6	54	    -341.7	10	   0.99979	
6	55	  -281.233	10	  0.999711	
6	56	   112.778	9	  0.999872	
6	57	      67.3	10	  0.999905	
6	58	   86.5667	10	  0.999856	
6	59	      43.9	10	  0.999869	
6	60	  -245.167	10	  0.999835	
6	61	  -297.367	10	  0.999881	
6	62	    -196.9	10	  0.999899	
6	63	  -203.033	10	  0.999839	
6	64	      23.5	10	  0.999965	
7	1	  -166.967	10	  0.999928	
7	2	   281.767	10	  0.998878	Bad Fit 
7	3	  -8.16667	10	  0.999983	
7	4	   143.233	10	  0.999961	
7	5	  -1.03333	10	  0.999899	
7	6	  -128.967	10	  0.999985	
7	7	  -9.76667	10	  0.999967	
7	8	      19.7	10	  0.999954	
7	9	   58.7667	10	  0.999972	
7	10	     195.1	10	  0.999986	
7	11	  -208.033	10	  0.999981	
7	12	   167.033	10	   0.99998	
7	13	  -71.1667	10	  0.999984	
7	14	    -134.1	10	  0.999984	
7	15	      44.5	10	  0.999945	
7	16	  -68.5667	10	  0.999907	
7	17	   94.7667	10	  0.999985	
7	18	   114.167	10	  0.999969	
7	19	  -23.3667	10	  0.999985	
7	20	  -106.767	10	  0.999981	
7	21	   92.2333	10	  0.999901	
7	22	   170.367	10	  0.999983	
7	23	   58.3667	10	   0.99999	
7	24	  -17.1667	10	  0.999966	
7	25	  -21.8333	10	  0.999987	
7	26	  -20.9333	9	  0.999991	
7	27	       3.7	10	  0.999962	
7	28	     -13.7	10	   0.99999	
7	29	   85.4333	10	  0.999958	
7	30	   172.833	10	   0.99998	
7	31	  -53.7667	10	   0.99999	
7	32	     108.7	10	  0.999971	
7	33	  -301.767	10	  0.999978	
7	34	     207.9	10	  0.999986	
7	35	   27.9444	9	  0.999952	
7	36	   141.167	10	  0.999979	
7	37	   56.2333	10	  0.999981	
7	38	  -158.633	10	  0.999918	
7	39	  -131.567	10	  0.999972	
7	40	     248.7	10	  0.999955	
7	41	  -84.4222	9	  0.999979	
7	42	      46.7	10	  0.999971	
7	43	   17.2222	9	  0.999979	
7	44	   469.767	10	  0.999984	
7	45	      -6.3	10	  0.999974	
7	46	  -172.167	10	  0.999971	
7	47	    -205.3	10	  0.999962	
7	48	     -55.7	10	  0.999915	
7	49	   165.967	10	   0.99999	
7	50	  -41.8333	10	   0.99999	
7	51	  -23.2333	10	  0.999983	
7	52	   228.033	10	  0.999952	
7	53	   340.967	10	  0.999973	
7	54	      89.9	10	  0.999667	
7	55	   199.367	10	  0.999883	
7	56	     302.5	10	  0.999848	
7	57	   20.3667	10	   0.99991	
7	58	   245.433	10	  0.999943	
7	59	      38.7	10	  0.999983	
7	60	  -173.367	10	  0.999941	
7	61	       6.7	10	   0.99993	
7	62	   83.7667	10	  0.999959	
7	63	     191.5	10	  0.999975	
7	64	   90.8333	10	  0.999939	
8	1	   141.367	10	  0.999923	
8	2	     -48.3	9	  0.999897	
8	3	    -146.7	10	   0.99985	
8	4	    -221.5	10	   0.99988	
8	5	   65.9667	10	  0.999929	
8	6	  -58.2333	10	  0.999809	
8	7	   6.96667	10	  0.999842	
8	8	     -50.9	10	  0.999851	
8	9	  -296.833	10	  0.999813	
8	10	  -73.1667	10	  0.999802	
8	11	  -87.9667	10	  0.999831	
8	12	  -74.8333	10	  0.999851	
8	13	  -204.967	10	  0.999855	
8	14	  -3.83333	10	  0.999887	
8	15	    -200.3	10	  0.999886	
8	16	   22.8333	10	  0.999873	
8	17	     -48.5	10	  0.999917	
8	18	  -302.433	10	  0.999864	
8	19	     -51.1	10	  0.999887	
8	20	   132.967	10	  0.999872	
8	21	  -275.433	10	  0.999819	
8	22	   28.1667	10	  0.999857	
8	23	  -21.1667	10	  0.999807	
8	24	    -121.7	10	  0.999794	
8	25	  -224.367	10	  0.999839	
8	26	  -41.1667	10	  0.999846	
8	27	   86.1667	10	  0.999821	
8	28	     -48.3	10	  0.999866	
8	29	      35.9	10	  0.999875	
8	30	  -71.0556	9	  0.999895	
8	31	     158.3	10	   0.99991	
8	32	    -189.7	10	  0.999923	
8	33	   66.7791	5	  0.999955	Few Peaks
8	34	    -304.2	9	  0.999888	
8	35	  -1.36667	9	   0.99984	
8	36	     -79.7	10	  0.999836	
8	37	  -249.526	5	  0.971379	Bad Fit Few Peaks
