#:::                  Calibration parameters for Z                 :::
#:::    Experimental parameters from dE/dx vs 1/beta2 linear fit   :::
#:::                     dE/dx = a1*(1/b2) + a0                    :::

#:::::::    | Layer | x | y | a1 | a0 |   ::::::: 

#:::: Layer 1 - America ::::: 

1	0	0	0.280   0.105
1	0	1	0.280   0.105
1	0	2	0.280   0.105
1	0	3	0.280   0.105
1	1	0	0.280   0.105
1	1	1	0.280   0.105
1	1	2	0.280   0.105
1	1	3	0.280   0.105
1	2	0	0.280   0.105
1	2	1	0.280   0.105
1	2	2	0.280   0.105
1	2	3	0.280   0.105
1	3	0	0.280   0.105
1	3	1	0.280   0.105
1	3	2	0.280   0.105
1	3	3	0.280   0.105

#:::: Layer 2 - Africa ::::: 

2	0	0	0.280   0.104
2	0	1	0.280   0.104
2	0	2	0.280   0.104
2	0	3	0.280   0.104
2	1	0	0.280   0.104
2	1	1	0.280   0.104
2	1	2	0.280   0.104
2	1	3	0.280   0.104
2	2	0	0.280   0.104
2	2	1	0.280   0.104
2	2	2	0.280   0.104
2	2	3	0.280   0.104
2	3	0	0.280   0.104
2	3	1	0.280   0.104
2	3	2	0.280   0.104
2	3	3	0.280   0.104

#:::: Layer 3 - Europa ::::: 

3	0	0	0.282   0.101
3	0	1	0.282   0.101
3	0	2	0.282   0.101
3	0	3	0.282   0.101
3	1	0	0.282   0.101
3	1	1	0.282   0.101
3	1	2	0.282   0.101
3	1	3	0.282   0.101
3	2	0	0.282   0.101
3	2	1	0.282   0.101
3	2	2	0.282   0.101
3	2	3	0.282   0.101
3	3	0	0.282   0.101
3	3	1	0.282   0.101
3	3	2	0.282   0.101
3	3	3	0.282   0.101

#:::: Layer 4 - Asia ::::: 

4	0	0	0.280   0.105
4	0	1	0.280   0.105
4	0	2	0.280   0.105
4	0	3	0.280   0.105
4	1	0	0.280   0.105
4	1	1	0.280   0.105
4	1	2	0.280   0.105
4	1	3	0.280   0.105
4	2	0	0.280   0.105
4	2	1	0.280   0.105
4	2	2	0.280   0.105
4	2	3	0.280   0.105
4	3	0	0.280   0.105
4	3	1	0.280   0.105
4	3	2	0.280   0.105
4	3	3	0.280   0.105

#:::: Layer 5 - Oceania ::::: 

5	0	0	0.279   0.106
5	0	1	0.279   0.106
5	0	2	0.279   0.106
5	0	3	0.279   0.106
5	1	0	0.279   0.106
5	1	1	0.279   0.106
5	1	2	0.279   0.106
5	1	3	0.279   0.106
5	2	0	0.279   0.106
5	2	1	0.279   0.106
5	2	2	0.279   0.106
5	2	3	0.279   0.106
5	3	0	0.279   0.106
5	3	1	0.279   0.106
5	3	2	0.279   0.106
5	3	3	0.279   0.106

